day;date;time;euro;usd;chf;gbp;rub
Su;2021-01-31;22:35:08;4.5221;3.7259;4.1824;5.1074;0.0491
day;date;time;euro;usd;chf;gbp;rub
Fr;2021-02-05;18:00:32;4.4887;3.7300;4.1457;5.1154;0.0500
Fr;2021-02-05;18:00:38;4.4887;3.7300;4.1457;5.1154;0.0500
Fr;2021-02-05;18:00:43;4.4887;3.7297;4.1456;5.1157;0.0500
Fr;2021-02-05;18:00:49;4.4887;3.7297;4.1456;5.1157;0.0500
Fr;2021-02-05;18:00:54;4.4888;3.7298;4.1457;5.1157;0.0500
day;date;time;euro;usd;chf;gbp;rub
Fr;2021-02-05;18:13:08;4.4888;3.7283;4.1457;5.1166;0.0500
Fr;2021-02-05;18:13:14;4.4887;3.7283;4.1455;5.1165;0.0500
Fr;2021-02-05;18:13:20;4.4887;3.7283;4.1455;5.1165;0.0500
